userId,n_ratings,n_sessions,n_multi_sessions,max_session_size,mean_session_size,frac_in_multi
155,63,1,1,63,63.0,1.0
156,2179,33,33,229,66.03,1.0
157,114,2,2,60,57.0,1.0
158,190,1,1,190,190.0,1.0
159,26,1,1,26,26.0,1.0
160,153,1,1,153,153.0,1.0
161,25,1,1,25,25.0,1.0
162,190,2,2,100,95.0,1.0
163,71,1,1,71,71.0,1.0
164,70,1,1,70,70.0,1.0
165,112,1,1,112,112.0,1.0
166,20,1,1,20,20.0,1.0
167,44,4,4,30,11.0,1.0
168,105,2,2,91,52.5,1.0
169,139,1,1,139,139.0,1.0
170,203,7,7,107,29.0,1.0
171,27,2,2,23,13.5,1.0
172,36,1,1,36,36.0,1.0
173,29,1,1,29,29.0,1.0
174,25,2,1,24,12.5,0.96
175,86,1,1,86,86.0,1.0
176,25,1,1,25,25.0,1.0
177,20,1,1,20,20.0,1.0
178,48,1,1,48,48.0,1.0
179,21,1,1,21,21.0,1.0
180,22,2,2,17,11.0,1.0
181,30,1,1,30,30.0,1.0
182,71,1,1,71,71.0,1.0
183,51,1,1,51,51.0,1.0
184,192,1,1,192,192.0,1.0
185,26,1,1,26,26.0,1.0
186,84,31,17,14,2.71,0.8333
187,23,1,1,23,23.0,1.0
188,73,1,1,73,73.0,1.0
189,160,10,10,32,16.0,1.0
190,93,2,2,79,46.5,1.0
191,24,1,1,24,24.0,1.0
192,65,1,1,65,65.0,1.0
193,22,2,2,19,11.0,1.0
194,28,1,1,28,28.0,1.0
195,92,1,1,92,92.0,1.0
196,90,1,1,90,90.0,1.0
197,22,1,1,22,22.0,1.0
198,45,1,1,45,45.0,1.0
199,31,1,1,31,31.0,1.0
200,78,1,1,78,78.0,1.0
201,100,1,1,100,100.0,1.0
202,86,1,1,86,86.0,1.0
203,50,1,1,50,50.0,1.0
204,73,3,3,50,24.333,1.0
205,156,4,4,116,39.0,1.0
206,221,4,4,200,55.25,1.0
207,56,1,1,56,56.0,1.0
208,1285,253,165,62,5.079,0.9315
209,80,22,10,42,3.636,0.85
210,24,1,1,24,24.0,1.0
211,63,1,1,63,63.0,1.0
212,50,1,1,50,50.0,1.0
213,80,2,2,78,40.0,1.0
214,29,1,1,29,29.0,1.0
215,314,22,14,149,14.273,0.9745
216,42,1,1,42,42.0,1.0
217,22,1,1,22,22.0,1.0
218,180,7,6,112,25.714,0.9944
219,55,2,2,49,27.5,1.0
220,407,74,46,98,5.5,0.9312
221,36,2,2,20,18.0,1.0
222,39,3,3,17,13.0,1.0
223,35,2,2,30,17.5,1.0
224,27,1,1,27,27.0,1.0
225,54,1,1,54,54.0,1.0
226,23,1,1,23,23.0,1.0
227,21,1,1,21,21.0,1.0
228,35,3,1,33,11.667,0.9429
229,158,1,1,158,158.0,1.0
230,50,1,1,50,50.0,1.0
231,27,1,1,27,27.0,1.0
232,126,1,1,126,126.0,1.0
233,83,10,9,39,8.3,0.988
234,30,1,1,30,30.0,1.0
235,99,3,3,60,33.0,1.0
236,36,1,1,36,36.0,1.0
237,197,1,1,197,197.0,1.0
238,263,6,5,142,43.833,0.9962
239,288,7,6,177,41.143,0.9965
240,92,4,3,44,23.0,0.9891
241,143,5,4,136,28.6,0.993
242,65,3,3,55,21.667,1.0
243,20,1,1,20,20.0,1.0
244,56,1,1,56,56.0,1.0
245,396,1,1,396,396.0,1.0
246,89,1,1,89,89.0,1.0
247,608,144,92,119,4.222,0.9145
248,270,83,42,62,3.253,0.8481
249,52,3,2,45,17.333,0.9808
250,20,1,1,20,20.0,1.0
251,516,1,1,516,516.0,1.0
252,86,1,1,86,86.0,1.0
253,42,2,2,22,21.0,1.0
254,165,1,1,165,165.0,1.0
255,43,3,3,29,14.333,1.0
256,64,1,1,64,64.0,1.0
257,20,1,1,20,20.0,1.0
258,560,30,25,70,18.667,0.9911
259,52,1,1,52,52.0,1.0
260,77,1,1,77,77.0,1.0
261,23,1,1,23,23.0,1.0
262,41,1,1,41,41.0,1.0
263,59,1,1,59,59.0,1.0
264,161,3,2,149,53.667,0.9938
265,112,1,1,112,112.0,1.0
266,124,2,2,75,62.0,1.0
267,194,3,3,156,64.667,1.0
268,23,3,3,16,7.667,1.0
269,103,2,1,102,51.5,0.9903
270,81,1,1,81,81.0,1.0
271,620,23,18,274,26.957,0.9919
272,71,1,1,71,71.0,1.0
273,109,1,1,109,109.0,1.0
274,22,1,1,22,22.0,1.0
275,62,3,3,37,20.667,1.0
276,23,1,1,23,23.0,1.0
277,45,1,1,45,45.0,1.0
278,424,8,8,206,53.0,1.0
279,239,33,22,29,7.242,0.954
280,256,2,2,183,128.0,1.0
281,31,1,1,31,31.0,1.0
282,40,1,1,40,40.0,1.0
283,302,3,3,169,100.667,1.0
284,118,1,1,118,118.0,1.0
285,193,1,1,193,193.0,1.0
286,64,1,1,64,64.0,1.0
287,20,1,1,20,20.0,1.0
288,34,1,1,34,34.0,1.0
289,78,1,1,78,78.0,1.0
290,84,5,4,31,16.8,0.9881
291,22,1,1,22,22.0,1.0
292,82,1,1,82,82.0,1.0
293,23,1,1,23,23.0,1.0
294,655,4,3,292,163.75,0.9985
295,324,1,1,324,324.0,1.0
296,25,1,1,25,25.0,1.0
297,21,1,1,21,21.0,1.0
298,1127,3,3,660,375.667,1.0
299,57,1,1,57,57.0,1.0
300,24,1,1,24,24.0,1.0
301,47,1,1,47,47.0,1.0
302,32,1,1,32,32.0,1.0
303,46,1,1,46,46.0,1.0
304,101,5,5,30,20.2,1.0
305,24,1,1,24,24.0,1.0
306,130,8,6,52,16.25,0.9846
307,33,1,1,33,33.0,1.0
308,51,1,1,51,51.0,1.0
309,398,16,15,245,24.875,0.9975
310,84,1,1,84,84.0,1.0
311,346,1,1,346,346.0,1.0
312,131,3,2,93,43.667,0.9924
313,202,6,5,140,33.667,0.995
314,118,6,5,51,19.667,0.9915
315,65,2,2,48,32.5,1.0
316,129,3,3,114,43.0,1.0
317,231,11,7,59,21.0,0.9827
318,511,9,4,343,56.778,0.9902
319,26,1,1,26,26.0,1.0
320,62,1,1,62,62.0,1.0
321,45,1,1,45,45.0,1.0
322,25,1,1,25,25.0,1.0
323,52,1,1,52,52.0,1.0
324,39,1,1,39,39.0,1.0
325,20,1,1,20,20.0,1.0
326,21,1,1,21,21.0,1.0
327,24,1,1,24,24.0,1.0
328,20,1,1,20,20.0,1.0
329,23,1,1,23,23.0,1.0
330,220,2,2,189,110.0,1.0
331,129,1,1,129,129.0,1.0
332,86,1,1,86,86.0,1.0
333,54,1,1,54,54.0,1.0
334,177,32,20,50,5.531,0.9322
335,129,10,6,105,12.9,0.969
336,41,1,1,41,41.0,1.0
337,324,9,7,187,36.0,0.9938
338,59,1,1,59,59.0,1.0
339,76,7,6,41,10.857,0.9868
340,117,2,2,90,58.5,1.0
341,20,1,1,20,20.0,1.0
342,88,25,11,16,3.52,0.8409
343,160,3,3,82,53.333,1.0
344,267,17,14,136,15.706,0.9888
345,20,1,1,20,20.0,1.0
346,101,1,1,101,101.0,1.0
347,778,112,56,144,6.946,0.928
348,785,556,95,62,1.412,0.4127
349,101,5,5,54,20.2,1.0
350,56,1,1,56,56.0,1.0
351,100,2,2,76,50.0,1.0
352,32,1,1,32,32.0,1.0
353,35,1,1,35,35.0,1.0
354,50,1,1,50,50.0,1.0
355,25,1,1,25,25.0,1.0
356,30,3,3,15,10.0,1.0
357,49,1,1,49,49.0,1.0
358,104,4,4,50,26.0,1.0
359,1300,186,120,245,6.989,0.9492
360,209,2,2,200,104.5,1.0
361,80,8,8,20,10.0,1.0
362,20,1,1,20,20.0,1.0
363,42,1,1,42,42.0,1.0
364,44,1,1,44,44.0,1.0
365,61,1,1,61,61.0,1.0
366,41,1,1,41,41.0,1.0
367,739,65,35,176,11.369,0.9594
368,58,1,1,58,58.0,1.0
369,77,1,1,77,77.0,1.0
370,680,322,103,68,2.112,0.6779
371,20,2,2,14,10.0,1.0
372,80,2,1,79,40.0,0.9875
373,39,1,1,39,39.0,1.0
374,82,3,2,66,27.333,0.9878
375,409,25,22,80,16.36,0.9927
376,50,2,2,42,25.0,1.0
377,199,1,1,199,199.0,1.0
378,278,26,16,91,10.692,0.964
379,94,3,3,40,31.333,1.0
380,146,4,2,138,36.5,0.9863
381,65,2,1,64,32.5,0.9846
382,53,1,1,53,53.0,1.0
383,142,21,9,44,6.762,0.9155
384,77,2,2,56,38.5,1.0
385,53,1,1,53,53.0,1.0
386,261,6,6,95,43.5,1.0
387,399,19,15,102,21.0,0.99
388,737,27,20,244,27.296,0.9905
389,230,2,1,229,115.0,0.9957
390,87,2,2,75,43.5,1.0
391,36,1,1,36,36.0,1.0
392,21,1,1,21,21.0,1.0
393,20,1,1,20,20.0,1.0
394,1212,381,120,146,3.181,0.7847
395,123,2,2,65,61.5,1.0
396,20,1,1,20,20.0,1.0
397,37,1,1,37,37.0,1.0
398,70,1,1,70,70.0,1.0
399,101,1,1,101,101.0,1.0
400,64,1,1,64,64.0,1.0
401,133,1,1,133,133.0,1.0
402,115,2,2,103,57.5,1.0
403,24,1,1,24,24.0,1.0
404,20,1,1,20,20.0,1.0
405,21,1,1,21,21.0,1.0
406,95,1,1,95,95.0,1.0
407,106,2,2,88,53.0,1.0
408,21,1,1,21,21.0,1.0
409,275,11,7,81,25.0,0.9855
410,28,1,1,28,28.0,1.0
411,306,1,1,306,306.0,1.0
412,172,5,3,165,34.4,0.9884
413,708,2,2,661,354.0,1.0
414,65,1,1,65,65.0,1.0
415,330,80,42,40,4.125,0.8848
416,98,2,2,92,49.0,1.0
417,378,2,1,377,189.0,0.9974
418,60,1,1,60,60.0,1.0
419,92,16,9,38,5.75,0.9239
420,20,1,1,20,20.0,1.0
421,465,8,8,156,58.125,1.0
422,583,6,6,263,97.167,1.0
423,51,4,3,24,12.75,0.9804
424,918,1,1,918,918.0,1.0
425,384,5,3,249,76.8,0.9948
426,42,2,2,34,21.0,1.0
427,298,1,1,298,298.0,1.0
428,30,1,1,30,30.0,1.0
429,74,1,1,74,74.0,1.0
430,417,1,1,417,417.0,1.0
431,79,29,12,23,2.724,0.7848
432,30,1,1,30,30.0,1.0
433,41,1,1,41,41.0,1.0
434,22,2,2,19,11.0,1.0
435,134,2,1,133,67.0,0.9925
436,151,4,3,52,37.75,0.9934
437,26,1,1,26,26.0,1.0
438,79,1,1,79,79.0,1.0
439,71,2,2,56,35.5,1.0
440,296,19,15,133,15.579,0.9865
441,96,28,8,28,3.429,0.7917
442,77,1,1,77,77.0,1.0
443,43,1,1,43,43.0,1.0
444,51,1,1,51,51.0,1.0
445,303,2,2,158,151.5,1.0
446,42,1,1,42,42.0,1.0
447,51,1,1,51,51.0,1.0
448,228,3,3,209,76.0,1.0
449,116,5,5,35,23.2,1.0
450,27,2,2,25,13.5,1.0
451,383,90,32,112,4.256,0.8486
452,34,1,1,34,34.0,1.0
453,97,8,7,58,12.125,0.9897
454,20,1,1,20,20.0,1.0
455,325,68,40,34,4.779,0.9138
456,117,5,4,73,23.4,0.9915
457,426,3,3,271,142.0,1.0
458,51,1,1,51,51.0,1.0
459,283,114,44,25,2.482,0.7527
460,28,2,2,15,14.0,1.0
461,228,2,2,179,114.0,1.0
462,328,4,4,138,82.0,1.0
463,80,2,1,79,40.0,0.9875
464,20,1,1,20,20.0,1.0
465,132,1,1,132,132.0,1.0
466,191,9,8,56,21.222,0.9948
467,30,1,1,30,30.0,1.0
468,52,4,4,42,13.0,1.0
469,469,51,27,343,9.196,0.9488
470,29,3,2,26,9.667,0.9655
471,548,63,38,213,8.698,0.9544
472,72,3,3,54,24.0,1.0
473,315,1,1,315,315.0,1.0
474,141,9,7,89,15.667,0.9858
475,198,1,1,198,198.0,1.0
476,44,1,1,44,44.0,1.0
477,32,1,1,32,32.0,1.0
478,67,1,1,67,67.0,1.0
479,355,4,4,243,88.75,1.0
480,22,1,1,22,22.0,1.0
481,44,1,1,44,44.0,1.0
482,141,8,7,55,17.625,0.9929
483,39,1,1,39,39.0,1.0
484,51,3,3,25,17.0,1.0
485,228,4,4,169,57.0,1.0
486,220,10,7,95,22.0,0.9864
487,34,2,2,28,17.0,1.0
488,301,7,6,100,43.0,0.9967
489,450,15,14,177,30.0,0.9978
490,155,5,4,73,31.0,0.9935
491,33,2,2,26,16.5,1.0
492,391,3,3,336,130.333,1.0
493,22,1,1,22,22.0,1.0
494,61,1,1,61,61.0,1.0
495,27,4,3,15,6.75,0.963
496,168,2,2,113,84.0,1.0
497,74,1,1,74,74.0,1.0
498,30,1,1,30,30.0,1.0
499,40,1,1,40,40.0,1.0
500,136,1,1,136,136.0,1.0
501,21,1,1,21,21.0,1.0
502,27,2,2,15,13.5,1.0
503,177,8,8,67,22.125,1.0
504,222,1,1,222,222.0,1.0
505,123,18,13,42,6.833,0.9593
506,35,2,2,33,17.5,1.0
507,40,1,1,40,40.0,1.0
508,206,8,5,77,25.75,0.9854
509,123,1,1,123,123.0,1.0
510,35,1,1,35,35.0,1.0
511,20,1,1,20,20.0,1.0
512,161,2,1,160,80.5,0.9938
513,20,1,1,20,20.0,1.0
514,161,31,19,41,5.194,0.9255
515,57,1,1,57,57.0,1.0
516,234,6,6,81,39.0,1.0
517,47,1,1,47,47.0,1.0
518,57,2,2,30,28.5,1.0
519,20,1,1,20,20.0,1.0
520,458,21,20,92,21.81,0.9978
521,159,4,4,117,39.75,1.0
522,20,1,1,20,20.0,1.0
523,49,3,3,23,16.333,1.0
524,26,1,1,26,26.0,1.0
525,58,1,1,58,58.0,1.0
526,87,3,3,68,29.0,1.0
527,22,1,1,22,22.0,1.0
528,22,1,1,22,22.0,1.0
529,28,1,1,28,28.0,1.0
530,67,2,2,57,33.5,1.0
531,98,1,1,98,98.0,1.0
532,74,1,1,74,74.0,1.0
533,27,1,1,27,27.0,1.0
534,152,25,18,54,6.08,0.9539
535,148,4,4,105,37.0,1.0
536,220,1,1,220,220.0,1.0
537,72,1,1,72,72.0,1.0
538,21,2,2,13,10.5,1.0
539,39,2,1,38,19.5,0.9744
540,172,30,18,30,5.733,0.9302
541,21,2,2,19,10.5,1.0
542,23,1,1,23,23.0,1.0
543,101,1,1,101,101.0,1.0
544,183,7,3,161,26.143,0.9781
545,107,1,1,107,107.0,1.0
546,244,1,1,244,244.0,1.0
547,20,1,1,20,20.0,1.0
548,129,1,1,129,129.0,1.0
549,211,17,11,44,12.412,0.9716
550,20,1,1,20,20.0,1.0
551,73,1,1,73,73.0,1.0
552,109,1,1,109,109.0,1.0
553,187,1,1,187,187.0,1.0
554,490,1,1,490,490.0,1.0
555,44,1,1,44,44.0,1.0
556,27,1,1,27,27.0,1.0
557,179,5,5,54,35.8,1.0
558,60,2,2,36,30.0,1.0
559,32,1,1,32,32.0,1.0
560,47,1,1,47,47.0,1.0
561,55,1,1,55,55.0,1.0
562,48,1,1,48,48.0,1.0
563,76,2,2,68,38.0,1.0
564,48,2,1,47,24.0,0.9792
565,101,1,1,101,101.0,1.0
566,29,1,1,29,29.0,1.0
567,31,2,2,20,15.5,1.0
568,36,1,1,36,36.0,1.0
569,58,1,1,58,58.0,1.0
570,58,2,2,53,29.0,1.0
571,113,4,4,64,28.25,1.0
572,1322,142,23,477,9.31,0.91
573,88,5,5,43,17.6,1.0
574,115,1,1,115,115.0,1.0
575,41,2,2,24,20.5,1.0
576,91,4,4,37,22.75,1.0
577,177,47,16,97,3.766,0.8249
578,433,54,34,186,8.019,0.9538
579,220,2,2,152,110.0,1.0
580,35,2,2,21,17.5,1.0
581,47,3,2,43,15.667,0.9787
582,39,1,1,39,39.0,1.0
583,46,2,2,32,23.0,1.0
584,124,3,3,92,41.333,1.0
585,62,1,1,62,62.0,1.0
586,1430,255,133,213,5.608,0.9147
587,873,60,47,237,14.55,0.9851
588,100,1,1,100,100.0,1.0
589,24,1,1,24,24.0,1.0
590,40,1,1,40,40.0,1.0
591,37,1,1,37,37.0,1.0
592,30,1,1,30,30.0,1.0
593,219,3,3,180,73.0,1.0
594,244,5,5,117,48.8,1.0
595,51,1,1,51,51.0,1.0
596,30,1,1,30,30.0,1.0
597,24,1,1,24,24.0,1.0
598,119,1,1,119,119.0,1.0
599,45,2,2,30,22.5,1.0
600,331,3,3,154,110.333,1.0
601,193,1,1,193,193.0,1.0
602,39,1,1,39,39.0,1.0
603,139,8,7,42,17.375,0.9928
604,245,6,5,196,40.833,0.9959
605,45,1,1,45,45.0,1.0
606,74,1,1,74,74.0,1.0
607,33,1,1,33,33.0,1.0
608,20,1,1,20,20.0,1.0
609,602,44,34,232,13.682,0.9834
610,529,6,5,266,88.167,0.9981
611,75,1,1,75,75.0,1.0
612,76,1,1,76,76.0,1.0
613,21,1,1,21,21.0,1.0
614,1042,209,125,208,4.986,0.9194
615,22,1,1,22,22.0,1.0
616,29,1,1,29,29.0,1.0
617,51,1,1,51,51.0,1.0
618,24,1,1,24,24.0,1.0
619,256,9,9,71,28.444,1.0
620,91,1,1,91,91.0,1.0
621,51,1,1,51,51.0,1.0
622,49,1,1,49,49.0,1.0
623,35,1,1,35,35.0,1.0
624,21,1,1,21,21.0,1.0
625,22,1,1,22,22.0,1.0
626,70,1,1,70,70.0,1.0
627,52,4,3,30,13.0,0.9808
628,210,5,4,154,42.0,0.9952
629,34,3,3,23,11.333,1.0
630,124,1,1,124,124.0,1.0
631,666,372,20,241,1.79,0.4715
632,1094,90,65,153,12.156,0.9771
633,80,3,3,59,26.667,1.0
634,106,4,4,52,26.5,1.0
635,390,19,13,122,20.526,0.9846
636,76,2,2,41,38.0,1.0
637,756,21,12,317,36.0,0.9881
638,30,2,2,21,15.0,1.0
639,23,1,1,23,23.0,1.0
640,51,1,1,51,51.0,1.0
641,20,1,1,20,20.0,1.0
642,43,1,1,43,43.0,1.0
643,207,2,2,136,103.5,1.0
644,20,1,1,20,20.0,1.0
645,72,1,1,72,72.0,1.0
646,152,1,1,152,152.0,1.0
647,58,1,1,58,58.0,1.0
648,904,47,34,396,19.234,0.9856
649,83,2,2,61,41.5,1.0
650,137,6,6,64,22.833,1.0
651,45,1,1,45,45.0,1.0
652,95,1,1,95,95.0,1.0
653,30,1,1,30,30.0,1.0
654,89,5,4,42,17.8,0.9888
655,28,1,1,28,28.0,1.0
656,42,2,2,39,21.0,1.0
657,36,1,1,36,36.0,1.0
658,80,1,1,80,80.0,1.0
659,142,3,2,125,47.333,0.993
660,35,1,1,35,35.0,1.0
661,167,6,4,143,27.833,0.988
662,235,12,8,160,19.583,0.983
663,428,10,9,295,42.8,0.9977
664,429,18,15,145,23.833,0.993
665,162,1,1,162,162.0,1.0
666,68,1,1,68,68.0,1.0
667,72,1,1,72,72.0,1.0
668,24,1,1,24,24.0,1.0
669,32,4,3,15,8.0,0.9688
670,147,4,3,84,36.75,0.9932
671,73,2,2,42,36.5,1.0
672,213,5,4,111,42.6,0.9953
673,237,23,15,61,10.304,0.9662
674,42,2,2,29,21.0,1.0
675,187,6,6,56,31.167,1.0
676,34,1,1,34,34.0,1.0
677,36,1,1,36,36.0,1.0
678,280,6,6,237,46.667,1.0
679,23,1,1,23,23.0,1.0
680,96,1,1,96,96.0,1.0
681,28,1,1,28,28.0,1.0
682,69,1,1,69,69.0,1.0
683,40,1,1,40,40.0,1.0
684,28,2,2,20,14.0,1.0
685,79,1,1,79,79.0,1.0
686,70,1,1,70,70.0,1.0
687,26,1,1,26,26.0,1.0
688,186,5,5,66,37.2,1.0
689,296,5,5,183,59.2,1.0
690,103,1,1,103,103.0,1.0
691,35,2,2,26,17.5,1.0
692,158,1,1,158,158.0,1.0
693,85,2,2,83,42.5,1.0
694,285,32,23,90,8.906,0.9684
695,31,1,1,31,31.0,1.0
696,83,3,3,43,27.667,1.0
697,65,1,1,65,65.0,1.0
698,29,1,1,29,29.0,1.0
699,300,3,3,279,100.0,1.0
700,157,1,1,157,157.0,1.0
701,24,1,1,24,24.0,1.0
702,805,2,2,703,402.5,1.0
703,41,1,1,41,41.0,1.0
704,65,1,1,65,65.0,1.0
705,75,1,1,75,75.0,1.0
706,67,1,1,67,67.0,1.0
707,103,5,4,66,20.6,0.9903
708,28,1,1,28,28.0,1.0
709,229,1,1,229,229.0,1.0
710,957,277,146,156,3.455,0.8631
711,150,4,4,108,37.5,1.0
712,28,1,1,28,28.0,1.0
713,58,4,4,22,14.5,1.0
714,47,1,1,47,47.0,1.0
715,39,1,1,39,39.0,1.0
716,22,1,1,22,22.0,1.0
717,662,2,2,381,331.0,1.0
718,31,1,1,31,31.0,1.0
719,27,1,1,27,27.0,1.0
720,24,2,2,19,12.0,1.0
721,191,3,3,164,63.667,1.0
722,46,1,1,46,46.0,1.0
723,20,1,1,20,20.0,1.0
724,232,3,3,183,77.333,1.0
725,94,1,1,94,94.0,1.0
726,37,1,1,37,37.0,1.0
727,243,8,5,138,30.375,0.9877
728,22,1,1,22,22.0,1.0
729,502,27,17,292,18.593,0.9801
730,26,1,1,26,26.0,1.0
731,48,1,1,48,48.0,1.0
732,169,5,5,59,33.8,1.0
733,177,3,3,89,59.0,1.0
734,34,1,1,34,34.0,1.0
735,373,114,44,95,3.272,0.8123
736,40,1,1,40,40.0,1.0
737,259,12,12,91,21.583,1.0
738,153,8,8,64,19.125,1.0
739,491,144,46,116,3.41,0.8004
740,173,1,1,173,173.0,1.0
741,2211,7,5,1639,315.857,0.9991
742,133,2,2,100,66.5,1.0
743,20,1,1,20,20.0,1.0
744,547,12,11,172,45.583,0.9982
745,77,2,2,47,38.5,1.0
746,26,1,1,26,26.0,1.0
747,27,1,1,27,27.0,1.0
748,101,1,1,101,101.0,1.0
749,96,1,1,96,96.0,1.0
750,171,1,1,171,171.0,1.0
751,21,2,2,15,10.5,1.0
752,27,1,1,27,27.0,1.0
753,45,1,1,45,45.0,1.0
754,164,1,1,164,164.0,1.0
755,49,2,2,34,24.5,1.0
756,72,1,1,72,72.0,1.0
757,53,2,2,37,26.5,1.0
758,30,1,1,30,30.0,1.0
759,25,1,1,25,25.0,1.0
760,131,2,2,102,65.5,1.0
761,248,3,3,232,82.667,1.0
762,22,1,1,22,22.0,1.0
763,98,1,1,98,98.0,1.0
764,20,2,1,19,10.0,0.95
